,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,full_URL,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
103,chicago,2 Br 2Ba on Hi Floor in Streeterville! NW corner unit!,2017-03-17 12:01,2.0,1103.0,3780.0,6047951112,Jane_Control,https://chicago.craigslist.org/chc/apa/6047951112.html,https://chicago.craigslist.org/reply/chi/apa/6047951112,,
100,chicago,"Try this one, it's perfect! Have a look and call!",2017-03-17 15:26,1.0,,1880.0,6020794238,John_Treat_High,https://chicago.craigslist.org/chc/apa/6020794238.html,https://chicago.craigslist.org/reply/chi/apa/6020794238,,
6,chicago,BREATHTAKING LUXURY HOME WITH THE AMENITIES YOU DESERVE,2017-03-17 15:44,1.0,,1999.0,6029114810,John_Treat_High,https://chicago.craigslist.org/chc/apa/6029114810.html,https://chicago.craigslist.org/reply/chi/apa/6029114810,,
10,chicago,GOLD COAST 1 BEDROOM ~ Pool ~ Covered Parking ~ Red Line ~ Gym,2017-03-17 15:43,1.0,,1950.0,6031365790,John_Treat_High,https://chicago.craigslist.org/chc/apa/6031365790.html,https://chicago.craigslist.org/reply/chi/apa/6031365790,,
44,chicago,Commuter's Dream - 32 min to Loop by train!  Large 2 BR/1 BA,2017-03-17 15:24,2.0,1100.0,1125.0,6035117240,Jane_Treat_Low,https://chicago.craigslist.org/wcl/apa/6035117240.html,https://chicago.craigslist.org/reply/chi/apa/6035117240,,
54,chicago,Fantastic Location in Evanston! 1BR-HDWD-Pet Friendly -1134-44 Maple,2017-03-17 15:30,1.0,,1350.0,6026798295,John_Treat_High,https://chicago.craigslist.org/chc/apa/6026798295.html,https://chicago.craigslist.org/reply/chi/apa/6026798295,,
26,chicago,Stop. Look. Lease! Save $1200 today only on Super Spacious 1BR!,2017-03-17 15:36,1.0,850.0,1399.0,6048323281,Jane_Treat_Low,https://chicago.craigslist.org/nch/apa/6048323281.html,https://chicago.craigslist.org/reply/chi/apa/6048323281,,
37,chicago,Great Edgewater 1 Bed Condo w/ Heat and Cable Included!,2017-03-17 15:34,1.0,,1400.0,6035099418,John_Treat_Low,https://chicago.craigslist.org/chc/apa/6035099418.html,https://chicago.craigslist.org/reply/chi/apa/6035099418,,
30,chicago,Huge 2 Bedroom-HDWD-DW-Avail 5/1! 1115-27 W. Oakdale,2017-03-17 15:35,2.0,,2095.0,6042639132,John_Control,https://chicago.craigslist.org/chc/apa/6042639132.html,https://chicago.craigslist.org/reply/chi/apa/6042639132,,
47,chicago,Dearborn/Maple**Gold Coast**Pay Electric Only! Available 4/1,2017-03-17 15:33,1.0,,1640.0,6048318717,Jane_Control,https://chicago.craigslist.org/chc/apa/6048318717.html,https://chicago.craigslist.org/reply/chi/apa/6048318717,,
