,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,full_URL,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
28,sandiego,"Centrally Located in UTC Close to Shopping, Schools, Beaches & More!",2017-03-17 13:35,1.0,600.0,1575.0,6048321769,Jane_Treat_Low,https://sandiego.craigslist.org/csd/apa/6048321769.html,https://sandiego.craigslist.org/reply/sdo/apa/6048321769,,
57,sandiego,"Nice top floor with private Balcony, reserve now for April! Hurry! onl",2017-03-17 12:41,2.0,970.0,1595.0,6048237802,Jane_Treat_Low,https://sandiego.craigslist.org/nsd/apa/6048237802.html,https://sandiego.craigslist.org/reply/sdo/apa/6048237802,,
8,sandiego,Immaculate Fully Remodeled 1BD/BR Condo,2017-03-17 13:49,1.0,604.0,1549.0,6044456976,Jane_Treat_Low,https://sandiego.craigslist.org/csd/apa/6044456976.html,https://sandiego.craigslist.org/reply/sdo/apa/6044456976,,
119,sandiego,2bd 1ba Available! Assigned Parking Included!,2017-03-17 11:44,2.0,875.0,1550.0,6048144828,Jane_Treat_Low,https://sandiego.craigslist.org/ssd/apa/6048144828.html,https://sandiego.craigslist.org/reply/sdo/apa/6048144828,,
114,sandiego,4225 Altadena Ave #2,2017-03-17 11:18,1.0,,1100.0,6048100011,Jane_Treat_Low,https://sandiego.craigslist.org/csd/apa/6048100011.html,https://sandiego.craigslist.org/reply/sdo/apa/6048100011,,
43,sandiego,Incredible unit downtown San Diego!!,2017-03-16 14:57,2.0,1350.0,3500.0,6047016610,Jane_Treat_Low,https://sandiego.craigslist.org/csd/apa/6047016610.html,https://sandiego.craigslist.org/reply/sdo/apa/6047016610,,
70,sandiego,"Spacious 1x1 Available NOW, Downtown Views, 2 FREE Months*!",2017-03-17 13:00,1.0,591.0,1880.0,6048253361,Jane_Treat_Low,https://sandiego.craigslist.org/csd/apa/6048253361.html,https://sandiego.craigslist.org/reply/sdo/apa/6048253361,,
53,sandiego,Cottage Unit Available - Blocks from the Beach!,2017-03-17 12:15,2.0,,2200.0,6039457152,Jane_Treat_Low,https://sandiego.craigslist.org/nsd/apa/6039457152.html,https://sandiego.craigslist.org/reply/sdo/apa/6039457152,,
58,sandiego,"Elevators, Come Look and Lease, Minutes to Dining",2017-03-17 12:40,2.0,750.0,1695.0,6048236960,Jane_Treat_Low,https://sandiego.craigslist.org/csd/apa/6048236960.html,https://sandiego.craigslist.org/reply/sdo/apa/6048236960,,
52,sandiego,"1 Bed - 1 Bath, In-Home Washer and Dryer, First Month Rent Free",2017-03-17 13:20,1.0,675.0,1785.0,6040830106,Jane_Treat_Low,https://sandiego.craigslist.org/nsd/apa/6040830106.html,https://sandiego.craigslist.org/reply/sdo/apa/6040830106,,
27,sandiego,2 Br. Townhouse in San Ysidro,2017-03-17 13:29,2.0,,1500.0,6005338064,Jane_Treat_Low,https://sandiego.craigslist.org/csd/apa/6005338064.html,https://sandiego.craigslist.org/reply/sdo/apa/6005338064,,
116,sandiego,Limited Availability! Pre-lease While You Can... SD's BEST APARTMENTS!,2017-03-17 10:56,1.0,708.0,2025.0,6048047952,Jane_Treat_Low,https://sandiego.craigslist.org/csd/apa/6048047952.html,https://sandiego.craigslist.org/reply/sdo/apa/6048047952,,
5,sandiego,"One bedroom w/ loft, 1.5 baths and a Great View!",2017-03-17 13:24,1.0,1014.0,3290.0,6048304573,Jane_Treat_Low,https://sandiego.craigslist.org/nsd/apa/6048304573.html,https://sandiego.craigslist.org/reply/sdo/apa/6048304573,,
40,sandiego,"Beautiful view, spacious layout! $99 deposit, $500 off 1st mnth!",2017-03-17 13:28,1.0,824.0,1529.0,6048282547,Jane_Treat_Low,https://sandiego.craigslist.org/nsd/apa/6048282547.html,https://sandiego.craigslist.org/reply/sdo/apa/6048282547,,
