,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,full_URL,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
16,seattle,Cozy ~2x1~ WITH FIRE PLACE AND WASHERS & DRYERS,2017-03-17 13:32,2.0,,1305.0,6048317017,John_Treat_Low,https://seattle.craigslist.org/sno/apa/6048317017.html,https://seattle.craigslist.org/reply/sea/apa/6048317017,,
25,seattle,Corner Unit Means Plethora Of Natural Light And Gorgeous Views,2017-03-17 11:41,1.0,889.0,3225.0,6048139838,Jane_Treat_Low,https://seattle.craigslist.org/see/apa/6048139838.html,https://seattle.craigslist.org/reply/sea/apa/6048139838,,
16,seattle,Modern elegance and breathtaking views - come tour today!,2017-03-17 12:01,2.0,1070.0,3315.0,6048172882,John_Treat_Low,https://seattle.craigslist.org/see/apa/6048172882.html,https://seattle.craigslist.org/reply/sea/apa/6048172882,,
0,seattle,GORGEOUS 2 BED 2 BATH--VIEWS OF DOWNTOWN PARK ALONG WITH A+ AMENITIES,2017-03-17 13:31,2.0,1200.0,3653.0,6048315683,John_Control,https://seattle.craigslist.org/est/apa/6048315683.html,https://seattle.craigslist.org/reply/sea/apa/6048315683,,
77,seattle,This 1+Den Is A One Of A Kind! Don't Miss Your Chance To Lease #338,2017-03-16 17:24,1.0,960.0,3000.0,6047191172,Jane_Treat_Low,https://seattle.craigslist.org/see/apa/6047191172.html,https://seattle.craigslist.org/reply/sea/apa/6047191172,,
22,seattle,Pre-lease your home now ~~ Don't miss out on this gem!,2017-03-17 13:21,1.0,650.0,1830.0,6035232447,Jane_Treat_High,https://seattle.craigslist.org/see/apa/6035232447.html,https://seattle.craigslist.org/reply/sea/apa/6035232447,,
5,seattle,Beautiful upgraded home!!! Call TODAY!!!,2017-03-17 13:36,1.0,784.0,1172.0,6048322523,John_Treat_Low,https://seattle.craigslist.org/oly/apa/6048322523.html,https://seattle.craigslist.org/reply/sea/apa/6048322523,,
42,seattle,Kick-Back and Relax in your Brand New Loft!,2017-03-17 12:52,1.0,847.0,2475.0,6048256269,Jane_Control,https://seattle.craigslist.org/see/apa/6048256269.html,https://seattle.craigslist.org/reply/sea/apa/6048256269,,
35,seattle,BE THE FIRST TO LIVE IN THIS APARTMENT!!!!,2017-03-17 13:15,2.0,983.0,1500.0,6048292046,John_Treat_Low,https://seattle.craigslist.org/see/apa/6048292046.html,https://seattle.craigslist.org/reply/sea/apa/6048292046,,
42,seattle,Waiting Just For You! European-Style Flat Apartment w/Private Balcony!,2017-03-17 12:20,2.0,950.0,2095.0,6048204361,Jane_Treat_High,https://seattle.craigslist.org/see/apa/6048204361.html,https://seattle.craigslist.org/reply/sea/apa/6048204361,,
90,seattle,Don't Miss Out on this Unique One Bedroom + Den Downtown!!!,2017-03-17 12:05,1.0,734.0,2468.0,6048167890,John_Control,https://seattle.craigslist.org/see/apa/6048167890.html,https://seattle.craigslist.org/reply/sea/apa/6048167890,,
109,seattle,Charming Home Sunset Hill /Ballard,2017-03-16 13:16,2.0,,3000.0,6037371918,John_Treat_Low,https://seattle.craigslist.org/see/apa/6037371918.html,https://seattle.craigslist.org/reply/sea/apa/6037371918,,
84,seattle,"2 Bed/2 Bath, Washer and dryer in every apartment, Conference room",2017-03-16 16:30,2.0,984.0,3131.0,6047131884,Jane_Control,https://seattle.craigslist.org/see/apa/6047131884.html,https://seattle.craigslist.org/reply/sea/apa/6047131884,,
3,seattle,Brand New 2 Bedrooms + 1 Den + 2 Baths Townhome in North Seattle,2017-03-17 13:37,2.0,1300.0,2250.0,6048324566,Jane_Treat_Low,https://seattle.craigslist.org/see/apa/6048324566.html,https://seattle.craigslist.org/reply/sea/apa/6048324566,,
82,seattle,Two bedroom with awesome view! $500 off first month of rent!,2017-03-16 16:53,2.0,1086.0,3150.0,6047157242,Jane_Treat_Low,https://seattle.craigslist.org/see/apa/6047157242.html,https://seattle.craigslist.org/reply/sea/apa/6047157242,,
88,seattle,We love our furry friends! Pet-friendly community in Tacoma!,2017-03-17 12:14,2.0,1036.0,1350.0,6048195264,Jane_Treat_Low,https://seattle.craigslist.org/tac/apa/6048195264.html,https://seattle.craigslist.org/reply/sea/apa/6048195264,,
