,Listing_Title,Posting_Date,city,posting_ID,full_URL,Bedrooms,Sqft,Price,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN
13,"AZARI PM - Nice 1 BR, 1 BA Apt. In Great Inner Sunset Location",2017-02-21 17:26,sanfrancisco,6001972879,https://sfbay.craigslist.org/sfc/apa/6001972879.html,1.0,,1995.0,https://sfbay.craigslist.org/reply/sfo/apa/6001972879,
14,1 BR Available near Washington Square Park in North Beach (2B/1R),2017-02-21 17:15,sanfrancisco,6014090313,https://sfbay.craigslist.org/sfc/apa/6014090313.html,1.0,1400.0,2000.0,https://sfbay.craigslist.org/reply/sfo/apa/6014090313,
15,"Oversized Closets, Soccer Court, Spacious Patio or Balcony",2017-02-21 16:59,sanfrancisco,5999767156,https://sfbay.craigslist.org/sfc/apa/5999767156.html,2.0,885.0,1995.0,https://sfbay.craigslist.org/reply/sfo/apa/5999767156,
16,SF Beautiful One Bedroom One Bath Must See!,2017-02-21 16:56,sanfrancisco,6014067241,https://sfbay.craigslist.org/sfc/apa/6014067241.html,1.0,,1750.0,https://sfbay.craigslist.org/reply/sfo/apa/6014067241,
17,1BD/1BATH LIVE/WORK,2017-02-21 14:53,sanfrancisco,6013907699,https://sfbay.craigslist.org/sfc/apa/6013907699.html,1.0,500.0,1950.0,https://sfbay.craigslist.org/reply/sfo/apa/6013907699,
18,Studio W/ Large Kitchens and Breakfast Bars! $500 Bonus Offer!,2017-02-21 13:38,sanfrancisco,6005451338,https://sfbay.craigslist.org/sfc/apa/6005451338.html,1.0,395.0,1799.0,https://sfbay.craigslist.org/reply/sfo/apa/6005451338,
19,Golden Gate Park UCSF Private One Bed Bath Furnished,2017-02-21 13:16,sanfrancisco,6007761861,https://sfbay.craigslist.org/sfc/apa/6007761861.html,1.0,,1700.0,https://sfbay.craigslist.org/reply/sfo/apa/6007761861,
20,"Professional On Site Management,Large Private Patios, Laundry Facility",2017-02-21 13:09,sanfrancisco,6004985429,https://sfbay.craigslist.org/sfc/apa/6004985429.html,1.0,690.0,1600.0,https://sfbay.craigslist.org/reply/sfo/apa/6004985429,
21,One bedroom available with amazing views of Mt Diablo,2017-02-21 12:33,sanfrancisco,6004911801,https://sfbay.craigslist.org/sfc/apa/6004911801.html,1.0,560.0,1749.0,https://sfbay.craigslist.org/reply/sfo/apa/6004911801,
22,Private room with deck - Gated Community,2017-02-21 12:15,sanfrancisco,5978795586,https://sfbay.craigslist.org/sfc/apa/5978795586.html,1.0,1471.0,1500.0,https://sfbay.craigslist.org/reply/sfo/apa/5978795586,
23,Private Bedroom on 14th and Lake,2017-02-21 12:04,sanfrancisco,6013628535,https://sfbay.craigslist.org/sfc/apa/6013628535.html,5.0,,1650.0,https://sfbay.craigslist.org/reply/sfo/apa/6013628535,
24,"Small Junior One-bedroom, Great Fillmore Location!",2017-02-21 11:44,sanfrancisco,5996633588,https://sfbay.craigslist.org/sfc/apa/5996633588.html,1.0,,1750.0,https://sfbay.craigslist.org/reply/sfo/apa/5996633588,
25,1BR/1BA in 2BR/2BA Apartment in Lower Pac Heights,2017-02-21 11:40,sanfrancisco,5972862632,https://sfbay.craigslist.org/sfc/apa/5972862632.html,1.0,1075.0,2000.0,https://sfbay.craigslist.org/reply/sfo/apa/5972862632,
