,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
114,chicago,Spacious Renovated 2BR in Evanston! Dempster & Oak,2017-03-17 15:22,2.0,,1695.0,6048268787,John_Treat_Low,,
61,chicago,Stunning 2 Bed 2 Bath Condo w/ Private Rooftop Deck & Parking Incl!,2017-03-17 15:24,2.0,,2000.0,6041960114,Jane_Treat_Low,,
80,chicago,Recently Remodeled 2 Bed 2 Bath Condo in Edgewater!,2017-03-17 15:23,2.0,,2200.0,6032563804,John_Treat_High,,
103,chicago,1807-303 2 BDR  STREET,2017-03-17 14:55,2.0,960.0,1034.0,6043441508,Jane_Treat_Low,,
28,chicago,River North 1Bed|1Bath Garage $170 Includes Heat A/C Cable Internet,2017-03-17 15:36,1.0,840.0,2100.0,6027707334,Jane_Treat_High,,
37,chicago,HAVING YOU LIVE AT HAMPSHIRE PARK WOULD BE PICTURE PERFECT!!!,2017-03-17 15:25,2.0,1359.0,1062.0,6039294608,Jane_Treat_Low,,
48,chicago,Large 1BR Avail. NOW-HDWD-Pet Friendly -1134-44 Maple,2017-03-17 15:30,1.0,,1480.0,6033983277,Jane_Treat_Low,,
17,chicago,"Lovely Lakeshore East Conv! WD in unit, Gym, Pool, Huge park outside",2017-03-17 15:43,1.0,,1585.0,6005178271,John_Treat_High,,
115,chicago,Awesome Views!! 1BR/1.5BA/GOLD COAST,2017-03-17 11:39,1.0,945.0,3500.0,6047885696,John_Control,,
18,chicago,Spacious 1BR-Pet Friendly-HDWD-Avail. 5/1 - 550 W. Arlington,2017-03-17 15:42,1.0,,1550.0,6036709345,John_Treat_Low,,
41,chicago,LARGE 1 bedroom !!! fully renovated,2017-03-17 15:32,1.0,815.0,1170.0,6044851432,John_Treat_Low,,
117,chicago,"Unique Townhouse, River North, W/D, Hardwood, Prime Location!!",2017-03-17 14:30,2.0,,2650.0,6035489752,Jane_Treat_Low,,
