,Bedrooms,Listing_Title,Posting_Date,Price,Reply_contact_info_link,Sqft,city,full_URL,posting_ID
64,2.0,"Balcony, Pool, Online Payments Available",2017-03-17 13:07,1235.0,https://seattle.craigslist.org/reply/sea/apa/6039530538,955.0,seattle,https://seattle.craigslist.org/tac/apa/6039530538.html,6039530538
70,2.0,A Great 2x1 Apartment Is Like A Four-Leaf Clover! Pick This One Today!,2017-03-17 13:01,1250.0,https://seattle.craigslist.org/reply/sea/apa/6048270079,905.0,seattle,https://seattle.craigslist.org/tac/apa/6048270079.html,6048270079
71,2.0,This Is Where You Will Want To Live,2017-03-17 13:01,1225.0,https://seattle.craigslist.org/reply/sea/apa/6042396680,842.0,seattle,https://seattle.craigslist.org/tac/apa/6042396680.html,6042396680
74,2.0,Feeling Lucky...Today Is Your Lucky Day... We Have Free Rent For You!,2017-03-17 12:59,1380.0,https://seattle.craigslist.org/reply/sea/apa/6048266364,970.0,seattle,https://seattle.craigslist.org/skc/apa/6048266364.html,6048266364
75,2.0,"Ready for move in next week, $750 gift card special. Remodeled home!",2017-03-17 12:58,1235.0,https://seattle.craigslist.org/reply/sea/apa/6048255962,1050.0,seattle,https://seattle.craigslist.org/tac/apa/6048255962.html,6048255962
76,2.0,Condo at the BRIO,2017-03-17 12:58,1350.0,https://seattle.craigslist.org/reply/sea/apa/6048246164,,seattle,https://seattle.craigslist.org/sno/apa/6048246164.html,6048246164
77,2.0,"Easy Access To Shopping, Dining, Boeing, Freeways!  $1449",2017-03-17 12:58,1449.0,https://seattle.craigslist.org/reply/sea/apa/6048264598,984.0,seattle,https://seattle.craigslist.org/sno/apa/6048264598.html,6048264598
80,2.0,"2 bed 1 bath Wood-Burning Fireplace, Dishwasher",2017-03-17 12:55,1225.0,https://seattle.craigslist.org/reply/sea/apa/6017792715,1083.0,seattle,https://seattle.craigslist.org/tac/apa/6017792715.html,6017792715
81,2.0,Great Location...Wait List,2017-03-17 12:55,1096.0,https://seattle.craigslist.org/reply/sea/apa/6008176921,968.0,seattle,https://seattle.craigslist.org/sno/apa/6008176921.html,6008176921
82,2.0,2nd Floor 2 Bed 1 Bath! Move In This Weekend Applications Are Only $17,2017-03-17 12:54,1474.0,https://seattle.craigslist.org/reply/sea/apa/6048249971,705.0,seattle,https://seattle.craigslist.org/sno/apa/6048249971.html,6048249971
83,2.0,"Billiards Parlor, Clubhouse with Kitchen and Free Wifi, Elevators",2017-03-17 12:54,1170.0,https://seattle.craigslist.org/reply/sea/apa/6048259045,969.0,seattle,https://seattle.craigslist.org/sno/apa/6048259045.html,6048259045
84,2.0,*Check it out! Serene Living Minutes From the City Save $$ Now*,2017-03-17 12:54,1460.0,https://seattle.craigslist.org/reply/sea/apa/6048258282,1017.0,seattle,https://seattle.craigslist.org/tac/apa/6048258282.html,6048258282
87,2.0,Duplex with Attached Garage!,2017-03-17 12:52,1050.0,https://seattle.craigslist.org/reply/sea/apa/6048255723,1050.0,seattle,https://seattle.craigslist.org/tac/apa/6048255723.html,6048255723
91,2.0,"We all lost an hour, but you don't have to lose this deal! Tour today!",2017-03-17 12:50,1338.0,https://seattle.craigslist.org/reply/sea/apa/6048251601,963.0,seattle,https://seattle.craigslist.org/tac/apa/6048251601.html,6048251601
93,2.0,New home New you!,2017-03-17 12:49,1480.0,https://seattle.craigslist.org/reply/sea/apa/6048251104,860.0,seattle,https://seattle.craigslist.org/sno/apa/6048251104.html,6048251104
94,2.0,Last One Before April!  1st Floor ~ Renovated ~ Ready March 29th,2017-03-17 12:49,1285.0,https://seattle.craigslist.org/reply/sea/apa/6048250886,850.0,seattle,https://seattle.craigslist.org/sno/apa/6048250886.html,6048250886
96,2.0,Citizen And Oake Modern Living At It's Finest!!!,2017-03-17 12:48,1235.0,https://seattle.craigslist.org/reply/sea/apa/6048249223,875.0,seattle,https://seattle.craigslist.org/skc/apa/6048249223.html,6048249223
97,2.0,Start 2017 Right! Super cute cottage TOWNHOME with special! Call now!,2017-03-17 12:47,1475.0,https://seattle.craigslist.org/reply/sea/apa/6006830178,980.0,seattle,https://seattle.craigslist.org/kit/apa/6006830178.html,6006830178
99,2.0,"Patio, Laundry Facility, Elevator",2017-03-17 12:46,1375.0,https://seattle.craigslist.org/reply/sea/apa/6037215079,980.0,seattle,https://seattle.craigslist.org/skc/apa/6037215079.html,6037215079
100,2.0,"Private Patio, On-Site Management, Courtyard, Short Term Lease, Range",2017-03-17 12:46,1425.0,https://seattle.craigslist.org/reply/sea/apa/6048235202,840.0,seattle,https://seattle.craigslist.org/skc/apa/6048235202.html,6048235202
102,2.0,"Convenient Location Near SuperMall, Washer and Dryer Included",2017-03-17 12:46,1345.0,https://seattle.craigslist.org/reply/sea/apa/6048245605,960.0,seattle,https://seattle.craigslist.org/tac/apa/6048245605.html,6048245605
